0 [133914496584768] INFO perfrun.launcher <> - Launcher main begin
1 [133914496584768] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [133914496584768] INFO perfrun.launcher <> - Launcher instance created
1 [133914496584768] INFO perfrun.launcher <> - argc = 6; cmdline = /home/canut/intel/oneapi/advisor/2025.1/bin64/advixe-runss --ui-output-format xml --ui-output-fd 182 --context-value-list 
98 [133914496584768] INFO perfrun.launcher <> - create msngr2::ICliToolContext
98 [133914496584768] INFO perfrun.launcher <> - create file finder object
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 0
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = true
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = true
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3CATAvailable; value = true
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = L3CATDetails; value = COS=16;ways=16
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL2CATAvailable; value = false
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = true
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LLCSize; value = 0
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = cacheMonitoringUpscalingFactor; value = 64
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3CacheOccupancyAvailable; value = true
100 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3TotalBWAvailable; value = true
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3LocalBWAvailable; value = true
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = false
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = true
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 6.8.0-60-generic
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = None
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 0
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
101 [133914496584768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
